Comment,Designator,Footprint,JLCPCB Part #,LCSC Part #,Notes
2460 (Keystone Battery Holder),"BT1, BT2",Through-hole,,,Order from Digikey: 36-2462-ND. Wire PARALLEL on PCB. 3.7V Li-ion 14500 ONLY
Non-Polarized Capacitor 4.7uF,C1,SMD_0603_1608Metric,C19666,C19666,Battery-side decoupling (MCP73831)
Non-Polarized Capacitor 4.7uF,C2,SMD_0603_1608Metric,C19666,C19666,VBUS-side decoupling (MCP73831)
Non-Polarized Capacitor 1uF,"C3, C4",SMD_0603_1608Metric,C15849,C15849,LDO input/output decoupling
Non-Polarized Capacitor 100nF,"C5, C9",SMD_0603_1608Metric,C14663,C14663,nRF52840 VDD + NAU7802 AVDD decoupling (0603)
Non-Polarized Capacitor 10uF,"C7, C10",SMD_0603_1608Metric,C19702,C19702,nRF52840 bulk + NAU7802 REFP-REFN bypass
Non-Polarized Capacitor 100nF,C8,SMD_0603_1608Metric,C14663,C14663,NAU7802 DVDD decoupling — NOTE: should be 100nF not 100uF
Non-Polarized Capacitor 100nF,"C11, C12",SMD_0603_1608Metric,C14663,C14663,LIS2DH12 VDD + VDD_IO decoupling
USBLC6-2SC6,D1,SOT-23-6,C7519,C7519,USB D+/D- ESD protection
MF-PSMF050X-2,F1,1206,C89657,C89657,500mA PTC resettable fuse on VBUS
USB4105-GF-A,J1,USB-C SMD 16-pin,C2296753,C2296753,"USB-C connector, charging + data"
"1989764 (Phoenix Contact PTSA 0,5/4-2,5-F)",J2,Through-hole 2.5mm pitch,,,4P spring terminal for load cell. Order from Digikey
FTSH-105-01-L-DV-007-K,J3,2x5 1.27mm header,C2962055,C2962055,SWD debug header (Samtec)
Inductor 10uH,L1,SMD_0603_1608Metric,C1046,C1046,nRF52840 DC-DC converter (DCCH to VDDH)
LTST-C190KRKT,LED1,0603,C2286,C2286,Red charge indicator LED
CRCW06035K10JNEAC,"R1, R2",SMD_0603_1608Metric,C23186,C23186,5.1kΩ CC1/CC2 pull-downs (Vishay 0603)
CRCW06031M00JNEAC,R3,SMD_0603_1608Metric,C22935,C22935,1MΩ (Vishay 0603)
CR1/4W-1K±5%-ST26,R5,Through-hole,C17513,C17513,1kΩ charge LED current limiting
CRCW06032K00JNEAC,R6,SMD_0603_1608Metric,C22975,C22975,2kΩ PROG resistor (sets 500mA charge)
CRCW06034K70JNEAC,R7,SMD_0603_1608Metric,C23162,C23162,4.7kΩ I2C SDA pull-up (Vishay 0603)
Resistor 4.7kΩ,R8,SMD_0603_1608Metric,C23162,C23162,4.7kΩ I2C SCL pull-up
CRCW040222R0FKEDC,"R10, R11",SMD_0402_1005Metric,C25092,C25092,22Ω USB D+/D- series resistors (Vishay 0402)
Resistor 10kΩ,R12,SMD_0603_1608Metric,C25804,C25804,10kΩ Reset pull-up
SW1AB-480-T50,SW1,SW-SMD_SW1AB-480-T50,C294481,C294481,Reset tactile switch
MCP73831T-2ACI/OT,U1,SOT-23-5,C424093,C424093,"Li-ion charge controller, 500mA"
AP2112K-3.3TRG1,U2,SOT-23-5,C51118,C51118,"3.3V LDO regulator, 600mA"
MDBT50Q-1MV2,U3,LGA Module (10.5x15.5mm),,,nRF52840 BLE module. Order from Raytac/Digikey. Pre-certified FCC/CE/IC
NAU7802SGI,U4,SOP-16,C2653562,C2653562,"24-bit ADC for load cell, I2C"
LIS2DH12TR,U5,LGA-12_L2.0-W2.0-P0.50-BL,C110926,C110926,"3-axis accelerometer, motion wake ~2µA"
